aaron	a: r O n
borgarstjórinn	p O r k a r_0 s t j ou r I n
borgarstjóri	p O r k a r_0 s t j ou r I
borgarstjórnarfundur	p O r k a r_0 s t j ou r t n a r_0 f Y n t Y r
borgarstjórnarkosningarnar	p O r k a r_0 s t j ou r t n a r_0 k_h O s t n i N k a r t n a r
borgarstjórnarkosningar	p O r k a r_0 s t j ou r t n a r_0 k O s t n i N k a r
borgarstjórnarkosningum	p O r k a r_0 s t j ou r t n a r_0 k_h O s t n i N k Y m
borgarstjórnarkosningunum	p O r k a r_0 s t j ou r t n a r_0 k_h O s t n i N k O n Y m
borgarstjórnar	p O r k a r_0 s t j ou r t n a r
borgarstjórn	p O r k a r_0 s t j ou r t n_0
borgartúni	p O r k a r_0 t_h u n I
borgarverkfræðingi	p O r k a r v E r_0 k f r ai D i J c I
borgarverkfræðings	p O r k a r v E r_0 k f r ai D i N s
borgaryfirvalda	p O r k a r I v I r v a l t a
borgaryfirvöld	p O r k a r I v I r v 9 l t
borgaryfirvöldum	p O r k a r I v I r v 9 l t Y m
borghildur	p O r k h I l t Y r
borgið	p O r c I D
borgina	p O r c I n a
borginni	p O r c I n I
borgin	p O r c I n
borgi	p O r c I
borgirnar	p O r c I r t n a r
borgir	p O r c I r
borg	p O r k
borguðu	p O r k Y D Y
borgum	p O r k Y m
borgunar	p O r k Y n a r
borgun	p O r k Y n
borgunum	p O r k O n Y m
borgurum	p O r k Y r Y m
borgurunum	p O r k O r O n Y m
borgþórsson	p O r k T ou r_0 s O n
borið	p O: r I D
boring	p O: r i N
borinn	p O: r I n
borin	p O: r I n
boris	p O: r I s
borist	p O: r I s t
bornar	p O r t n a r
bornir	p O r t n I r
born	p O r n
boro	p O r ou
borun	p O: r Y n
borussia	p O r u s i a
bosnía	p O s t n i j a
bosníu	p O s t n i j Y
boss	p O s
boston	p O s t O n
both	p ou T
botna	p O h t n a
botndýr	p O h t n_0 t i r
botnfallshraða	p O h t n_0 f a t l_0 s r_0 a D a
botngjarðirnar	p O h t n_0 c a r D I r t n a r
botngróður	p O h t n_0 k r ou D Y r
botninn	p O h t n I n
botni	p O h t n I
botnlangi	p O h t n l au J c I
botnlaus	p O h t n l 9i s
botnliði	p O h t n l I D I
botnlið	p O h t n l I D
botn	p O h t n_0
botns	p O s
botntrollið	p O h t n_0 t_h r O l I D
botntrolli	p O h t n_0 t_h r O l I
botnvarpa	p O h t n v a r_0 p a
bottas	p O h t a s
bottom	p O h t O m
bought	p O t
bound	p au: n t
bourbon-viskí	p 9 r p O n v I s c i
bournemouth	p O r n m au T
bowie	p ou: i
boxara	p O k s a r a
boxi	p O k s I
boxkvöldi	p O k s k_h v 9 l t I
box	p O k s
boys	p Oi j s
bóasdóttir	p ou: a s t ou h t I r
bóas	p ou: a s
bóasson	p ou: a s O n
bófarnir	p ou: v a r t n I r
bófar	p ou: v a r
bófi	p ou: v I
bóga	p ou: G a
bóginn	p ou j I n
bóg	p ou: G
bókabúð	p ou: k a p u D
bókað	p ou: k a D
bókanir	p ou: k a n I r
bókanna	p ou: k a n a
bóka	p ou: k a
bókarinnar	p ou: k a r I n a r
bókar	p ou: k a r
bókasafnið	p ou: k a s a p n I D
bókasafninu	p ou: k a s a p n I n Y
bókasafni	p ou: k a s a p n I
bókasafn	p ou: k a s a p n_0
bókasafns	p ou: k a s a p n_0 s
bókaskápnum	p ou: k a s k au h p n Y m
bókasöfnum	p ou: k a s 9 p n Y m
bókaútgáfan	p ou: k a u t k au v a n
bókaútgáfu	p ou: k a u t k au v Y
bókband	p ou k p a n t
bókfærslu	p ou k f ai r_0 s t l Y
bókfært	p ou k f ai r_0 t
bókhaldið	p ou: k h a l t I D
bókhaldi	p ou: k h a l t I
bókhald	p ou k h a l t
bókina	p ou: c I n a
bókinni	p ou: c I n I
bókin	p ou: c I n
bókmenntafræðingur	p ou k m E n_0 t a f r ai D i N k Y r
bókmenntafræði	p ou k m E n_0 t a f r ai D I
bókmenntanna	p ou k m E n_0 t a n a
bókmennta	p ou k m E n_0 t a
bókmenntaverðlaun	p ou k m E n_0 t a v E r D l 9i n
bókmenntaverk	p ou k m E n_0 t a v E r_0 k
bókmenntir	p ou k m E n_0 t I r
bókmenntum	p ou k m E n_0 t Y m
bók	p ou: k
bókstaflega	p ou k s t a v l E G a
bókstaflegri	p ou k s t a v l E G r I
bókstafur	p ou k s t a v Y r
bókuð	p ou: k Y D
bókum	p ou: k Y m
bókuninni	p ou: k Y n I n I
bókun	p ou: k Y n
bókunum	p ou: k O n Y m
bóla	p ou: l a
bólar	p ou: l a r
bólgna	p ou l n a
bólgnar	p ou l n a r
bólgnir	p ou l n I r
bólgu	p ou l k Y
bólgur	p ou l k Y r
bólgusjúkdóma	p ou l k Y s j u k t ou m a
bólivía	p ou: l I v i j a
bólivíu	p ou: l I v i j Y
bólstaðarhlíð	p ou l s t a D a r l_0 i D
bólstraberg	p ou l s t r a p E r k
bóluefni	p ou: l Y E p n I
bólugrafinn	p ou: l Y k r a v I n
bólusetja	p ou: l Y s E t j a
bólusetningar	p ou: l Y s E h t n i N k a r
bólusetningu	p ou: l Y s E h t n i N k Y
bólusótt	p ou: l Y s ou h t
bómull	p ou: m Y t l_0
bóndans	p ou n t a n s
bónda	p ou n t a
bóndinn	p ou n t I n
bóndi	p ou n t I
bón	p ou: n
bónusa	p ou: n Y s a
bónusgreiðslur	p ou: n Y s k r ei D s t l Y r
bónus	p ou: n Y s
bónuss	p ou: n Y s
bótaábyrgð	p ou: t a au p I r D
bótakrafa	p ou: t a k_h r a v a
bótakröfu	p ou: t a k_h r 9 v Y
bóta	p ou: t a
bótarétt	p ou: t a r j E h t
bótaskylda	p ou: t a s c I l t a
bótaskyldu	p ou: t a s c I l t Y
bót	p ou: t
bótum	p ou: t Y m
bp	p j E: p_h j E
bradford	p r a t f O r t
bradley	p r a t l i
brad	p r a t
brady	p r ei: t i
bragadóttir	p r a: G a t ou h t I r
bragadóttur	p r a: G a t ou h t Y r
braga	p r a: G a
bragarbót	p r a: G a r p ou t
bragason	p r a: G a s O n
bragðað	p r a G D a D
bragða	p r a G D a
bragðast	p r a G D a s t
bragðgott	p r a G D k O h t
bragðið	p r a G D I D
bragðinu	p r a G D I n Y
bragði	p r a G D I
bragð	p r a G D
bragðs	p r a G D s
bragðvont	p r a G D v O n_0 t
bragfræði	p r a x f r ai D I
bragganum	p r a k a n Y m
bragga	p r a k a
braggi	p r a c I
bragi	p r ai j I
bragur	p r a: G Y r
brahms	p r a: m s
brain	p r ei: n
brak	p r a: k
brallað	p r a t l a D
bralla	p r a t l a
brandara	p r a n t a r a
brandarinn	p r a n t a r I n
brandari	p r a n t a r I
brandon	p r a n t O n
brand	p r a n t
brandur	p r a n t Y r
brann	p r a n
bransanum	p r a n s a n Y m
bransa	p r a n s a
brasilía	p r a: s I l i j a
brasilíska	p r a: s I l i s k a
brasilíski	p r a: s I l i s c I
brasilísku	p r a: s I l i s k Y
brasilíumaðurinn	p r a: s I l i j Y m a D Y r I n
brasilíumenn	p r a: s I l i j Y m E n
brasilíu	p r a: s I l i j Y
bras	p r a: s
brass	p r a s
brast	p r a s t
brattahlíðarnefnd	p r a h t a l_0 i D a r n E m t
brattann	p r a h t a n
brattar	p r a h t a r
bratt	p r a h t
brauðið	p r 9i: D I D
brauði	p r 9i: D I
brauðmylsnu	p r 9i D m I l s t n Y
brauð	p r 9i: D
brauðrist	p r 9i D r I s t
braust	p r 9i s t
brautargengi	p r 9i: t a r c ei J c I
brautarholti	p r 9i: t a r_0 h O l_0 t I
brautarinnar	p r 9i: t a r I n a r
brautarkeppni	p r 9i: t a r_0 c_h E h p n I
brautarlýsing	p r 9i: t a r l i s i N k
brautina	p r 9i: t I n a
brautinni	p r 9i: t I n I
brautin	p r 9i: t I n
brautir	p r 9i: t I r
braut	p r 9i: t
brautryðjandi	p r 9i: t r I D j a n t I
brautryðjendastarf	p r 9i: t r I D j E n t a s t a r f
brautryðjendurnir	p r 9i: t r I D j E n t Y r t n I r
brautskráðir	p r 9i: t s k r au D I r
brautum	p r 9i: t Y m
bravo	p r a v ou
bráðabana	p r au: D a p a n a
bráðabirgðaákvæði	p r au: D a p I r D a au k_h v ai D I
bráðabirgðalög	p r au: D a p I r D a l 9 G
bráðabirgðastjórn	p r au: D a p I r D a s t j ou r t n_0
bráðabirgðatölum	p r au: D a p I r D a t_h 9 l Y m
bráðadeild	p r au: D a t ei l t
bráðamóttöku	p r au: D a m ou t_h 9 k Y
bráðar	p r au: D a r
bráðkvaddur	p r au D k_h v a t Y r
bráðlega	p r au D l E G a
bráðna	p r au D n a
bráðnauðsynlegt	p r au D n 9i D s I n l E x t
bráðnun	p r au D n Y n
bráð	p r au: D
bráðri	p r au D r I
bráðskemmtileg	p r au D s c E m_0 t I l E G
bráðum	p r au: D Y m
bráður	p r au: D Y r
brá	p r au:
brást	p r au s t
brátt	p r au h t
breakers	p r ei: k E r_0 s
breakfast	p r E k f a s t
break	p r ei: k
breath	p r E T
breeding	p r i t i N
bregða	p r E G D a
bregðast	p r E G D a s t
bregði	p r E G D I
bregðist	p r E G D I s t
bregður	p r E G D Y r
bregst	p r E x s t
breiddin	p r ei t I n
breiddi	p r ei t I
breiddist	p r ei t I s t
breidd	p r ei t
breiddur	p r ei t Y r
breiðabliki	p r ei: D a p l I c I
breiðablik	p r ei: D a p l I k
breiðabliks	p r ei: D a p l I k s
breiðafirði	p r ei: D a f I r D I
breiðafjörð	p r ei: D a f j 9 r D
breiðan	p r ei: D a n
breiða	p r ei: D a
breiðari	p r ei: D a r I
breiðast	p r ei: D a s t
breiðdal	p r ei D t a l
breiðdalsheiði	p r ei D t a l s h ei D I
breiðdalsvík	p r ei D t a l s v i k
breiðfjörð	p r ei D f j 9 r D
breiðholtinu	p r ei T h O l_0 t I n Y
breiðholti	p r ei T h O l_0 t I
breiðholt	p r ei T h O l_0 t
breiðholtsbraut	p r ei T h O l_0 t s p r 9i t
breiðholtskirkja	p r ei T h O l_0 t s c_h I r_0 c a
breiðholtskirkju	p r ei T h O l_0 t s c_h I r_0 c Y
breiðholtslaug	p r ei T h O l_0 t s t l 9i G
breiðholts	p r ei T h O l_0 t s
breiðholtsskóla	p r ei T h O l_0 t s k ou l a
breiðir	p r ei: D I r
breiðist	p r ei: D I s t
breið	p r ei: D
breiðskífa	p r ei D s c i v a
breiðskífu	p r ei D s c i v Y
breiðst	p r ei D s t
breiðum	p r ei: D Y m
breiðumörk	p r ei: D Y m 9 r_0 k
breiðu	p r ei: D Y
breiður	p r ei: D Y r
breiðuvíkurhrepps	p r ei: D Y v i k Y r_0 E h p s
breiðvangi	p r ei D v au J c I
breiðþota	p r ei T O t a
breikkaði	p r ei h k a D I
breikka	p r ei h k a
breikkun	p r ei h k Y n
breitt	p r ei h t
breivik	p r ei: v i k
breki	p r E: c I
brekka	p r E h k a
brekkubæ	p r E h k Y p ai
brekkugötu	p r E h k Y k 9 t Y
brekkuna	p r E h k Y n a
brekkunni	p r E h k Y n I
brekku	p r E h k Y
brekkurnar	p r E h k Y r t n a r
bremen	p r E: m E n
bremsudiska	p r E m s Y t I s k a
brendan	p r E n t a n
brenglaðar	p r ei N l a D a r
brennandi	p r E n a n t I
brenna	p r E n a
brenndar	p r E n t a r
brenndi	p r E n t I
brennd	p r E n t
brennidepli	p r E n I t E h p l I
brenni	p r E n I
brennisteinn	p r E n I s t ei t n_0
brennivíni	p r E n I v i n I
brennivín	p r E n I v i n
brenn	p r E n
brennsla	p r E n s t l a
brennslu	p r E n s t l Y
brennt	p r E n_0 t
brennur	p r E n Y r
brentford	p r E n_0 t f O r t
brenton	p r E n_0 t O n
brent	p r E n_0 t
breskan	p r E s k a n
breska	p r E s k a
breskar	p r E s k a r
breski	p r E s c I
breskir	p r E s c I r
bresk	p r E s k
breskra	p r E s k r a
breskri	p r E s k r I
breskum	p r E s k Y m
bresku	p r E s k Y
breskur	p r E s k Y r
bresta	p r E s t a
bresti	p r E s t I
brest	p r E s t
brestur	p r E s t Y r
breta	p r E: t a
bretaprins	p r E: t a p_h r I n s
bretarnir	p r E: t a r t n I r
bretar	p r E: t a r
bretinn	p r E: t I n
breti	p r E: t I
bretlandi	p r E: t l a n t I
bretland	p r E: t l a n t
bretlandseyja	p r E: t l a n t s ei j a
bretlandseyjum	p r E: t l a n t s ei j Y m
bretlands	p r E: t l a n t s
bretlandsrallinu	p r E: t l a n t s r a l I n Y
brettaferð	p r E h t a f E r D
brettinu	p r E h t I n Y
bretti	p r E h t I
brett	p r E h t
bretum	p r E: t Y m
brewery	p r u: E r i
brewing	p r u: i N
brexit	p r E k s I t
breyst	p r ei s t
breyta	p r ei: t a
breytast	p r ei: t a s t
breytileg	p r ei: t I l E G
breytilegra	p r ei: t I l E G r a
breytilegt	p r ei: t I l E x t
breytilegum	p r ei: t I l E G Y m
breytilegur	p r ei: t I l E G Y r
breytingagjald	p r ei: t i N k a c a l t
breytinganna	p r ei: t i N k a n a
breytinga	p r ei: t i N k a
breytingarnar	p r ei: t i N k a r t n a r
breytingar	p r ei: t i N k a r
breytingartillaga	p r ei: t i N k a r_0 t_h I l a G a
breytingartillögum	p r ei: t i N k a r_0 t_h I l 9 G Y m
breytingartillögu	p r ei: t i N k a r_0 t_h I l 9 G Y
breytingartillögur	p r ei: t i N k a r_0 t_h I l 9 G Y r
breytingin	p r ei: t i J c I n
breyting	p r ei: t i N k
breytingum	p r ei: t i N k Y m
breytinguna	p r ei: t i N k Y n a
breytingunum	p r ei: t i N k O n Y m
breytingu	p r ei: t i N k Y
breyti	p r ei: t I
breytir	p r ei: t I r
breytist	p r ei: t I s t
breytni	p r ei h t n I
breyt	p r ei: t
breyttan	p r ei h t a n
breytta	p r ei h t a
breyttar	p r ei h t a r
breytti	p r ei h t I
breyttir	p r ei h t I r
breyttist	p r ei h t I s t
breytt	p r ei h t
breyttra	p r ei h t r a
breyttrar	p r ei h t r a r
breyttri	p r ei h t r I
breyttum	p r ei h t Y m
breyttu	p r ei h t Y
breyttur	p r ei h t Y r
breyttust	p r ei h t Y s t
breytum	p r ei: t Y m
bréfalúguna	p r j E: v a l u G Y n a
bréfamöppur	p r j E: v a m 9 h p Y r
bréfanna	p r j E: v a n a
bréfa	p r j E: v a
bréfaskipti	p r j E: v a s c I f t I
bréfaskiptum	p r j E: v a s c I f t Y m
bréfaskriftir	p r j E: v a s k r I f t I r
bréfdúfunni	p r j E v t u v Y n I
bréfið	p r j E: v I D
bréfin	p r j E: v I n
bréfinu	p r j E: v I n Y
bréfi	p r j E: v I
bréflega	p r j E v l E G a
bréf	p r j E: v
bréfritarinn	p r j E v r I t a r I n
bréfsins	p r j E f s I n s
bréfsnifsinu	p r j E f s t n I f s I n Y
bréfs	p r j E f s
bréfum	p r j E: v Y m
bréfunum	p r j E: v O n Y m
brian	p r ai j a n
bride	p r ai: t
bridge	p r I t s
bridsdeild	p r I t s t ei l t
brids	p r I t s
briem	p r I: m
brighton	p r ai: t_h O n
bright	p r ai t
brillantínið	p r I l a n t_h i n I D
brillantíninu	p r I l a n t_h i n I n Y
brillantíni	p r I l a n t_h i n I
brillantín	p r I l a n t_h i n
brillantínsins	p r I l a n t_h i n s I n s
brillantíns	p r I l a n t_h i n s
brilleraði	p r I l E r a D I
brilleraðir	p r I l E r a D I r
brillerað	p r I l E r a D
brilleraðu	p r I l E r a D Y
brillerandi	p r I l E r a n t I
brillera	p r I l E r a
brillerar	p r I l E r a r
brillerið	p r I l E r I D
brilleri	p r I l E r I
brilleruðuð	p r I l E r Y D Y D
brilleruðum	p r I l E r Y D Y m
brilleruðu	p r I l E r Y D Y
brillerum	p r I l E r Y m
brilljantínið	p r I t l j a n_0 t i n I D
brilljantín	p r I l j a n_0 t i n
brilljant	p r I l j a n_0 t
brimborg	p r I m p O r k
brim	p r I: m
brims	p r I m s
bringing	p r i N i N
bring	p r i N
bringspalirnar	p r i N s p a l I r t n a r
bringu	p r i N k Y
bringusundi	p r i N k Y s Y n t I
bringusund	p r i N k Y s Y n t
bristol	p r I s t O l
britain	p r I h t E n
british	p r I h t I s
britney	p r I h t n ei
bríet	p r i: j E t
bríkinni	p r i: c I n I
brjálað	p r j au: l a D
brjálaður	p r j au: l a D Y r
brjálæðingi	p r j au: l ai D i J c I
brjálæðingur	p r j au: l ai D i N k Y r
brjálæði	p r j au: l ai D I
brjánn	p r j au t n_0
brjánsdóttur	p r j au n s t ou h t Y r
brjósk	p r j ou s k
brjóstagjöfum	p r j ou s t a c 9 v Y m
brjóstakrabbameini	p r j ou s t a k_h r a p a m ei n I
brjóstakrabbamein	p r j ou s t a k_h r a p a m ei n
brjóstamjólkinni	p r j ou s t a m j ou l_0 c I n I
brjóstið	p r j ou s t I D
brjóstin	p r j ou s t I n
brjósti	p r j ou s t I
brjóstkassanum	p r j ou s t k_h a s a n Y m
brjóstkassa	p r j ou s t k_h a s a
brjóst	p r j ou s t
brjóstsviði	p r j ou s t s v I D I
brjóstsykri	p r j ou s t s I k r I
brjóstum	p r j ou s t Y m
brjóta	p r j ou: t a
brjótast	p r j ou: t a s t
brjóti	p r j ou: t I
broadcasting	p r O t k_h a s t i N
broadway	p r O t v ei
broddadóttur	p r O t a t ou h t Y r
broddgöltur	p r O t k 9 l_0 t Y r
broddi	p r O t I
broddstafirnir	p r O t s t a v I r t n I r
broddstafir	p r O t s t a v I r
broddsúlan	p r O t s u l a n
broken	p r ou: k E n
broke	p r ou: k
brokk	p r O h k
brom	p r O: m
bromwich	p r O m v I t s
bronsið	p r O n s I D
brons	p r O n s
bronsverðlaun	p r O n s v E r D l 9i n
brooklyn	p r u h k l I n
brooks	p r u k s
brosað	p r O: s a D
brosandi	p r O: s a n t I
brosa	p r O: s a
brosið	p r O: s I D
brosi	p r O: s I
brosir	p r O: s I r
broskall	p r O: s k_h a t l_0
bros	p r O: s
brostið	p r O s t I D
brosti	p r O s t I
brostnar	p r O s t n a r
brotanna	p r O: t a n a
brota	p r O: t a
brotastarfsemi	p r O: t a s t a r f s E m I
brotaþola	p r O: t a T O l a
brotaþoli	p r O: t a T O l I
brother	p r O D E r
brothers	p r O D E r_0 s
brotið	p r O: t I D
brotinn	p r O: t I n
brotin	p r O: t I n
brotinu	p r O: t I n Y
broti	p r O: t I
brotist	p r O: t I s t
brotlegur	p r O: t l E G Y r
brotlenti	p r O: t l E n_0 t I
brotnaði	p r O h t n a D I
brotnað	p r O h t n a D
brotna	p r O h t n a
brotnar	p r O h t n a r
brotnir	p r O h t n I r
brotnuðu	p r O h t n Y D Y
brot	p r O: t
brotsins	p r O t s I n s
brots	p r O: t s
brottfall	p r O h t f a t l_0
brottfarar	p r O h t f a r a r
brottflutning	p r O h t f l Y h t n I N k
brottflutta	p r O h t f l Y h t a
brottför	p r O h t f 9 r
brotthvarfi	p r O h t k_h v a r v I
brotthvarf	p r O h t k_h v a r f
brottkasti	p r O h t k_h a s t I
brottkast	p r O h t k_h a s t
brottkasts	p r O h t k a s t s
brott	p r O h t
brottrekstur	p r O h t r E k s t Y r
brottvísun	p r O h t v i s Y n
brotum	p r O: t Y m
brought	p r O: t
brownie	p r au: n i
brown	p r au: n
bróðirinn	p r ou: D I r I n
bróðir	p r ou: D I r
bróðurparti	p r ou: D Y r_0 p_h a r_0 t I
bróður	p r ou: D Y r
bróðursonur	p r ou: D Y r_0 s O n Y r
brók	p r ou: k
bruce	p r u: s
bruðl	p r Y D l
brugðið	p r Y G D I D
brugðist	p r Y G D I s t
brugðu	p r Y G D Y
brugðust	p r Y G D Y s t
bruggað	p r Y k a D
brugge	p r Y c E
brugghús	p r Y k h u s
brum	p r Y: m
brunablettum	p r Y: n a p l E h t Y m
brunaiðgjalda	p r Y: n a I D c a l t a
brunann	p r Y: n a n
brunans	p r Y: n a n s
brunanum	p r Y: n a n Y m
bruna	p r Y: n a
brunasár	p r Y: n a s au r
brunatryggð	p r Y: n a t_h r I G D
brunavarna	p r Y: n a v a r t n a
brunavarnir	p r Y: n a v a r t n I r
brunavörnum	p r Y: n a v 9 r t n Y m
brunch	p r 9 n t s
bruni	p r Y: n I
brunna	p r Y n a
brunnið	p r Y n I D
brunni	p r Y n I
brunnu	p r Y n Y
bruno	p r u: n ou
brussel	p r Y s E l
brutu	p r Y: t Y
brutust	p r Y: t Y s t
bruyne	p r Oi n E
brúa	p r u: a
brúarfoss	p r u: a r_0 f O s
brúarinnar	p r u: a r I n a r
brúar	p r u: a r
brúðguminn	p r u D k Y m I n
brúðkaupið	p r u D k_h 9i p I D
brúðkaupinu	p r u D k_h 9i p I n Y
brúðkaupi	p r u D k_h 9i p I
brúðkaup	p r u D k_h 9i p
brúðkaupsdaginn	p r u D k_h 9i p s t ai j I n
brúðkaupsferð	p r u D k_h 9i p s f E r D
brúðkaupsnóttina	p r u D k_h 9i p s t n ou h t I n a
brúðkaups	p r u D k_h 9i p s
brúðkaupsveislu	p r u D k_h 9i p s v ei s t l Y
brúðkaupsþátturinn	p r u D k_h 9i p s T au h t Y r I n
brúðkaupum	p r u D k_h 9i p Y m
brúðubíllinn	p r u: D Y p i t l I n
brúður	p r u: D Y r
brúin	p r u: I n
brúna	p r u: n a
brúnleitt	p r u n l ei h t
brúnni	p r u n I
brúnn	p r u t n_0
brún	p r u: n
brúnum	p r u: n Y m
brú	p r u:
brúsann	p r u: s a n
brúttótonn	p r u h t ou t_h O n
bryan	p r ai j a n
bryant	p r ai j a n_0 t
bryddað	p r I t a D
brydda	p r I t a
bryðja	p r I D j a
brygði	p r I G D I
bryggjan	p r I c a n
bryggja	p r I c a
bryggjuhverfi	p r I c Y k_h v E r v I
bryggjuna	p r I c Y n a
bryggjunni	p r I c Y n I
bryggju	p r I c Y
bryggjur	p r I c Y r
bryndísar	p r I n t i s a r
bryndísi	p r I n t i s I
bryndís	p r I n t i s
brynhildur	p r I n h I l t Y r
brynja	p r I n j a
brynjari	p r I n j a r I
brynjar	p r I n j a r
brynjarsdóttir	p r I n j a r_0 s t ou h t I r
brynjars	p r I n j a r_0 s
brynjarsson	p r I n j a r_0 s O n
brynjólfsdóttir	p r I n j ou l f s t ou h t I r
brynjólfsdóttur	p r I n j ou l f s t ou h t Y r
brynjólfs	p r I n j ou l f s
brynjólfssonar	p r I n j ou l f s O n a r
brynjólfsson	p r I n j ou l f s O n
brynjólfur	p r I n j ou l v Y r
brynju	p r I n j Y
brynjúlfsson	p r I n j u l f s O n
brynka	p r i N_0 k a
brynki	p r i J_0 c I
bryti	p r I: t I
brytja	p r I: t j a
brýna	p r i: n a
brýnasta	p r i: n a s t a
brýnast	p r i: n a s t
brýnir	p r i: n I r
brýnna	p r i t n a
brýnni	p r i t n I
brýn	p r i: n
brýnt	p r i n_0 t
brýnu	p r i: n Y
brýnustu	p r i: n Y s t Y
brýr	p r i: r
brýst	p r i s t
brýtur	p r i: t Y r
bræða	p r ai: D a
bræðið	p r ai: D I D
bræði	p r ai: D I
bræðrafélagið	p r ai D r a f j E l ai j I D
bræðranna	p r ai D r a n a
bræðra	p r ai D r a
bræðrum	p r ai D r Y m
bræðrunum	p r ai D r O n Y m
bræðsla	p r ai D s t l a
bræðslu	p r ai D s t l Y
bræðurna	p r ai: D Y r t n a
bræðurnir	p r ai: D Y r t n I r
bræður	p r ai: D Y r
brækurnar	p r ai: k Y r t n a r
brætt	p r ai h t
brögð	p r 9 G D
brögðum	p r 9 G D Y m
bröggunum	p r 9 k O n Y m
brölta	p r 9 l_0 t a
brölti	p r 9 l_0 t I
bröltir	p r 9 l_0 t I r
brölt	p r 9 l_0 t
bröndby	p r 9 n p i
bröttubrekku	p r 9 h t Y p r E h k Y
bröttum	p r 9 h t Y m
bsí	p j E: E s i
bt	p j E: t_h j E
bubba	p Y p a
bubbi	p Y p I
bucks	p 9 h k s
budapest	p u: t a p_h E s t
budda	p Y t a
buddunni	p Y t Y n I
budget	p 9 t s E t
buðum	p Y: D Y m
buðu	p Y: D Y
buðust	p Y: D Y s t
buenos	p u E: n O s
buffon	p Y f O n
buff	p Y f
bugl	p Y k l
bug	p Y: G
building	p I l t i N
buildings	p I l t i N s
build	p I l t
built	p I l_0 t
bullaði	p Y t l a D I
bullandi	p Y t l a n t I
bulla	p Y t l a
bulli	p Y t l I
bullock	p u l O h k
bull	p Y t l_0
bulls	p Y t l_0 s
bumba	p Y m p a
bumbult	p Y m p Y l_0 t
bundesligunni	p u n t E s t l i k Y n I
bundið	p Y n t I D
bundinn	p Y n t I n
bundin	p Y n t I n
bundist	p Y n t I s t
bundnar	p Y n t n a r
bundnir	p Y n t n I r
bundnu	p Y n t n Y
bundu	p Y n t Y
bunga	p u N k a
bunguna	p u N k Y n a
bunkann	p u N_0 k a n
bunka	p u N_0 k a
bunkinn	p u J_0 c I n
bunki	p u J_0 c I
burðarás	p Y r D a r au s
burðaráss	p Y r D a r au s
burðarhlutverk	p Y r D a r_0 l_0 Y t v E r_0 k
burðarliðnum	p Y r D a r l I D n Y m
burði	p Y r D I
bureau	p j u: r ou
burger	p 9 r k E r
burknana	p Y r_0 k n a n a
burkni	p Y r_0 k n I
burning	p 9 r n i N
burnirót	p Y r t n I r ou t
burnley	p 9 r n l ei
burn	p 9 r n
burns	p 9 r n s
burstaði	p Y r_0 s t a D I
burstað	p Y r_0 s t a D
bursta	p Y r_0 s t a
burstar	p Y r_0 s t a r
burtfararprófi	p Y r_0 t f a r a r_0 p_h r ou v I
burtför	p Y r_0 t f 9 r
burton	p 9 r_0 t O n
burt	p 9 r_0 t
burtséð	p Y r_0 t s j E D
burtu	p Y r_0 t Y
bush	p u s
business	p I s n E s
bus	p 9 s
bust	p 9 s t
busy	p I s i
butler	p 9 h t l E r
but	p 9 t
butterfly	p 9 h t E r_0 f l ai
button	p 9 h t O n
butt	p 9 h t
butur	p Y: t Y r
buxnaklaufina	p Y k s t n a k_h l 9i v I n a
buxnastrenginn	p Y k s t n a s t r ei J c I n
buxum	p Y k s Y m
buxunum	p Y k s O n Y m
buxurnar	p Y k s Y r t n a r
buxur	p Y k s Y r
buyers	p ai: j E r_0 s
buy	p ai:
búa	p u: a
búast	p u: a s t
búbót	p u: p ou t
búdapest	p u: t a p_h E s t
búðardal	p u: D a r t a l
búðarglugga	p u: D a r_0 k l Y k a
búðarklettur	p u: D a r_0 k_h l E h t Y r
búðarsveinninn	p u: D a r s v ei t n I n
búðina	p u: D I n a
búðin	p u: D I n
búðirnar	p u: D I r t n a r
búðir	p u: D I r
búð	p u: D
búðum	p u: D Y m
búðunum	p u: D O n Y m
búferlaflutninga	p u: f E r t l a f l Y h t n i N k a
búferlum	p u: f E r t l Y m
búfé	p u: f j E
búfjár	p u: f j au r
búfræðingurinn	p u: f r ai D i N k Y r I n
búið	p u: I D
búinn	p u: I n
búin	p u: I n
búinu	p u: I n Y
búi	p u: I
búist	p u: I s t
búkarest	p u: k a r E s t
búkarnir	p u: k a r t n I r
búkar	p u: k a r
búkinn	p u: c I n
búkollu	p u: k_h O t l Y
búlgaría	p u l k a r i j a
búlgaríu	p u l k a r i j Y
búlgarska	p u l k a r_0 s k a
búllanna	p u l a n a
búllan	p u l a n
búlla	p u l a
búllnanna	p u l n a n a
búllna	p u l n a
búllum	p u l Y m
búlluna	p u l Y n a
búllunnar	p u l Y n a r
búllunni	p u l Y n I
búllunum	p u l O n Y m
búllu	p u l Y
búllurnar	p u l Y r t n a r
búllur	p u l Y r
búnaðarbankann	p u: n a D a r p au N_0 k a n
búnaðarbankans	p u: n a D a r p au N_0 k a n s
búnaðarbankanum	p u: n a D a r p au N_0 k a n Y m
búnaðarbanka	p u: n a D a r p au N_0 k a
búnaðarbankinn	p u: n a D a r p au J_0 c I n
búnaðarbanki	p u: n a D a r p au J_0 c I
búnaðarfélags	p u: n a D a r_0 f j E l a x s
